subjectID,Min,Max,Crossover_S,Slope_S,Crossover_C,Slope_C,Slope_avg,Crossover_avg,exitflag,R,LS,AR,N,Exclude,status,WJOC,WJSR,age,agegroup,CMu,CH,CS1,CS2,CB1,CB2,Cexitflag,CR,CLS,CAR,CN,Cstatus,UMu,UH,US1,US2,UB1,UB2,Uexitflag,UR,ULS,UAR,UN,Ustatus,SemanticMax,SemanticMax-UnrelatedMax,SemanticMax-UnrelatedAtTimeOfSemanticMax,SemanticMaxDivUnrelatedAtTimeOfSemanticMax,MaxDiffBetweenSemantic&Unrelated,TimeOfMaxSemantic,TimeOfMaxDiff,variable,MinTime,MaxTime,extentCmU3,Exclude,goacc,nogoacc,gntestacc,gntotalacc,sscongruent,ssincongruent,sstotal,acc,rt,gnrt,ssrt,globalstop,respinhib
98,1.87E-08,0.823921915,564.3440126,0.001264997,669.3417182,0.001381848,0.001323423,616.8428654,2010,0.99613709,0.000670099,0.976154783,501,,1,110.1173,106.5987,7.8,1,396.6994374,0.245238637,137.5884433,265.4097856,2.77E-09,0.080002859,2020,0.957307012,0.000356515,0.965277095,501,1,296.7822667,0.216118889,90.09551375,247.8261852,1.48E-08,0.037002358,2020,0.982905692,1.23E-04,0.945690198,501,1,0.245239,0.0776362,0.0789574,1.47484,0.0806587,396.699,452,,476,696,220,,0.9875,0.7,0.93,0.946153846,718.9808333,740.9121277,729.8310526,0.98958333,1822.547368,502.671625,729.9464805,-0.410666505,-0.322377463
114,1.93E-08,0.878131282,780.0381459,0.000931696,762.5818994,0.000822514,0.000877105,771.3100226,2020,0.994850235,0.001071403,0.984337156,501,,1,95.81021,88.4171,7.4,1,391.5464381,0.274629677,108.591838,470.0543627,1.89E-02,0.030886182,2010,0.984651644,0.000238763,0.936889548,501,1,427.7426562,0.191022614,144.4765972,365.9782636,3.07E-03,0.021182978,2010,0.979252262,0.000157875,0.95438855,501,1,0.27463,0.116904,0.117561,1.74847,0.118045,391.546,384,,248,1072,824,,0.975,0.8,0.94,0.946153846,1190.90898,1458.127826,1320.299158,0.95833333,2303.926471,541.4875,1324.518403,-2.084783691,1.08130178
300,8.53E-08,0.916543247,734.2756252,0.00098942,723.8775335,0.001192938,0.001091179,729.0765794,2010,0.995275419,0.001042733,0.982460737,501,,1,105.7798,113.7305,7.8,1,472.6633826,0.241093001,138.2072607,348.4950768,9.25E-09,0.04229044,2020,0.977146875,0.000256501,0.944437383,501,1,363.3901365,0.175858828,79.40321263,367.033382,1.28E-08,0.015452563,2010,0.987692291,8.10E-05,0.913043234,501,1,0.241093,0.089299,0.0970047,1.67323,0.103455,472.663,588,,496,1076,580,,0.9875,0.8,0.95,0.961538462,1034.545556,1189.240789,1105.36988,1,3744.947917,472.825375,1111.893173,0.586024029,1.332525639
375,7.81E-08,0.632096693,619.4299351,0.00120731,704.4344804,0.00095201,0.00107966,661.9322078,2020,0.993334058,0.000814852,0.981307201,501,,1,113.1684,102.2645,8.2,1,568.7943744,0.130331646,154.3980517,440.2734419,1.03E-06,0.130331544,2010,0.940852234,0.000284644,0.973155754,501,1,457.282154,0.127016925,132.3655943,260.629532,1.81E-08,0.02007602,2020,0.961085109,0.000116267,0.961851535,501,1,0.130332,0.0398901,0.042861,1.49,0.113143,568.794,2000,,876,2000,1124,,1,0.95,0.99,0.992307692,835.4338,879.7680851,856.9153608,0.98958333,1636.305263,499.6285,857.6009426,-0.101165608,-0.338400607
385,1.03E-02,0.79913623,613.9496326,0.001217485,590.4032558,0.001038325,0.001127905,602.1764442,2010,0.996999503,0.000504634,0.970984698,501,,1,128.2119,126.2603,8.4,1,489.5154399,0.17802234,223.6036899,413.2800726,9.36E-09,0.046363734,2020,0.947843561,0.000274484,0.960267717,501,1,372.1466898,0.265167754,117.9321537,202.1006565,1.05E-02,0.03846133,2010,0.988235922,0.00012677,0.945756685,501,1,0.178022,0.0165525,0.0478178,1.36725,0.118601,489.515,744,,608,1108,500,,0.975,0.75,0.93,0.946153846,831.6133333,814.6046809,822.9241304,1,1936.114583,483.892,823.1090071,-0.240736159,-1.11246209
496,3.17E-08,0.886585479,644.2165252,0.00093792,636.8064398,0.000916571,0.000927246,640.5114825,2020,0.996138454,0.000706577,0.980084801,501,,1,98.87095,100,7.7,1,801.1302379,0.1510237,464.4139156,315.5393021,3.54E-09,0.019890354,2020,0.936626213,3.22E-04,0.976689,501,1,390.3233322,0.237882194,148.1525229,262.5610126,3.98E-09,0.032164699,2010,0.991546322,8.74E-05,0.936971195,501,1,0.151024,-0.0175525,0.0692453,1.84674,0.0828857,801.13,932,,796,1136,340,,1,0.85,0.97,0.976923077,860.2406,949.4342553,903.4581443,1,2285.666667,563.693625,904.8374277,0.640567484,0.532390292
583,1.04E-07,0.742537943,682.1591068,0.001272029,693.2376967,0.000811849,0.001041939,687.6984018,2020,0.998529335,0.000250952,0.955727153,501,,1,80.77673,95.0222,8.5,1,646.7415515,0.258897608,208.7978429,190.827024,4.04E-07,0.040438711,2010,0.987973,0.000144038,0.922482706,501,1,360.5701302,0.197057424,74.61617586,246.9437384,1.68E-02,0.007676904,2020,0.993217207,4.95E-05,0.906430472,501,1,0.258898,0.121526,0.159603,2.60737,0.162933,646.742,684,,556,840,284,,1,0.95,0.99,0.992307692,780.9168,901.6556,841.2862,1,2012.5625,537.260625,841.2862,1.194569791,0.768995676
706,4.42E-08,0.850786144,708.6995024,0.000905692,769.4662778,0.000882707,0.000894199,739.0828901,2020,0.997396225,0.000471993,0.967159516,501,,1,100.376,111.0827,7.6,1,274.6285076,0.173212286,40.08438351,943.6404838,5.18E-07,5.18E-08,2010,0.937305287,0.00041806,0.976055405,501,1,440.2181526,0.217228819,149.2260053,316.6803685,9.18E-09,0.02794597,2020,0.986551614,0.000125128,0.950541795,501,1,0.173212,0.00682477,0.0234897,1.15689,0.0631961,274.629,1216,,980,1268,288,,1,1,1,1,1047.385,1124.490217,1085.11734,1,2076.510417,606.9395,1085.937609,-0.320238484,0.273416073
774,2.21E-08,0.697330596,771.1458868,0.000789699,707.4888385,0.000768482,0.00077909,739.3173626,2020,0.99688975,0.000435306,0.974397824,501,,1,112.0963,92.98452,8.8,1,377.199346,0.163231883,87.68423583,967.1564827,2.80E-03,3.40E-06,2020,0.952969482,0.000249583,0.966582262,501,1,398.8748176,0.163335362,90.24443269,375.0900126,2.02E-07,0.034085124,2010,0.982486095,8.70E-05,0.942590361,501,1,0.163232,0.0563646,0.0563665,1.52745,0.0613957,377.199,992,,700,1324,624,,0.975,0.6,0.9,0.915384615,1047.033958,1524.650227,1275.45913,1,2560.260417,427.478875,1285.842093,-2.871622036,3.042667648
815,8.97E-09,0.725037908,625.0142225,0.000754713,608.2848374,0.000882622,0.000818667,616.64953,2020,0.99706515,0.000345145,0.960420291,501,,1,96.9716,99.62397,8.8,1,533.4986681,0.143774385,225.8685413,569.002579,9.16E-08,0.058617686,2020,0.966315691,9.23E-05,0.917575236,501,1,368.5948509,0.228907913,128.1148798,247.9741856,2.54E-04,0.043062884,2020,0.989732093,8.33E-05,0.928250876,501,1,0.143774,-0.0526323,-0.0211941,0.871527,0.0596797,533.499,1080,,784,1116,332,,1,0.8,0.96,0.969230769,932.3420833,1024.829762,975.503,0.98958333,1856.673684,492.055,978.5859226,-2.203119617,-0.916224285
868,3.22E-08,0.913203556,678.034315,0.001192893,678.0635764,0.001020979,0.001106936,678.0489457,2010,0.998371985,0.000379109,0.964698271,501,,1,128.2119,100.7523,8.1,1,513.5595581,0.229248289,188.3334077,378.0258152,9.64E-09,0.018530744,2010,0.975804603,0.000289535,0.964172516,501,1,320.8708893,0.200518329,82.6040913,307.4263527,1.18E-02,0.017178877,2020,0.9921366,6.08E-05,0.888362371,501,1,0.229248,0.139194,0.143901,2.68607,0.14449,513.56,548,,624,876,252,,0.9875,0.85,0.96,0.969230769,920.1738,947.152,932.9529474,0.98958333,2394.4,483.76175,933.6629,-1.436303521,-1.742717424
1232,1.35E-07,0.846327084,764.5960848,0.001025282,713.4369675,0.001032967,0.001029125,739.0165262,2010,0.997840289,0.000456493,0.970698722,501,,1,115.5465,104.1898,7.6,1,492.8941561,0.191944152,157.2094155,526.9982325,3.32E-09,0.022074258,2020,0.972325237,0.000226811,0.958424299,501,1,359.3819258,0.281535745,92.01234467,307.0145266,1.15E-02,0.046299001,2010,0.992148367,0.000105735,0.931133908,501,1,0.191944,0.00505601,0.0271343,1.16464,0.0797377,492.894,916,,644,1468,824,,0.9875,0.75,0.94,0.953846154,758.9470833,809.3960976,782.1876404,1,2438.729167,433.74375,784.1715904,-0.783152333,-0.263347219
1295,9.59E-08,0.90889839,584.2002067,0.001296922,773.3329025,0.001338917,0.001317919,678.7665546,2010,0.99648943,0.000729238,0.979791712,501,,1,120.1113,104.9778,7.5,1,310.1026116,0.200062602,59.15660805,354.0449948,3.70E-02,0.022362917,2010,0.987040171,9.46E-05,0.921354699,501,1,338.0922168,0.240352633,118.0262182,263.4441676,1.19E-02,0.017754488,2010,0.993436483,7.36E-05,0.908382183,501,1,0.200063,0.0240429,0.05648,1.39336,0.0640944,310.103,292,,664,2000,1336,,1,0.75,0.95,0.961538462,1078.7142,951.8106522,1017.90625,1,1891.729167,442.923,1015.262426,-0.723555993,-2.112412001
1302,1.70E-08,0.767034243,743.839493,0.000858816,868.9104041,0.000714144,0.00078648,806.3749485,2020,0.994170604,0.00101675,0.986487135,501,,1,107.866,103.4132,7.2,1,406.0081391,0.199044104,121.2422397,465.9158456,7.24E-09,0.031672649,2020,0.976095866,0.000193796,0.939414981,501,1,423.8636669,0.198978873,114.8622096,369.1483457,1.09E-04,0.016415539,2020,0.985749981,0.000123345,0.939208914,501,1,0.199044,0.0310355,0.0310378,1.18474,0.0332897,406.008,312,,620,2000,1380,,0.975,0.65,0.91,0.930769231,920.9112245,779.5220408,850.2166327,0.98958333,2549.513889,470.852875,850.2166327,-0.45900083,-1.563229911
1303,5.71E-08,0.64687079,461.6539157,0.000926716,527.3325971,0.000951761,0.000939238,494.4932564,2020,0.994443459,0.00048712,0.980544235,501,,1,116.8959,103.0284,8.2,1,174.3963221,0.107301198,34.80562786,461.9504462,4.78E-05,0.02963728,2020,0.893741093,2.17E-04,0.974267778,501,1,384.920616,0.12076041,146.1002744,184.5585176,5.00E-08,0.01056071,2010,0.97631853,6.25E-05,0.939912933,501,1,0.107301,-0.024538,0.0204448,1.23539,0.0328746,174.396,884,,784,1220,436,,0.9875,0.65,0.92,0.938461538,773.0253061,915.8955814,839.8016304,1,1637.729167,499.380375,844.4604438,-1.117247866,0.560602179
1305,2.02E-08,0.913156841,701.5430183,0.001116248,766.9280949,0.001006898,0.001061573,734.2355566,2020,0.997326806,0.000668084,0.981929623,501,,1,115.5465,109.6502,8.4,1,521.890697,0.148638924,265.7083456,487.1009612,8.38E-09,0.016710574,2020,0.934094366,0.000315668,0.973810509,501,1,401.5104042,0.219447753,120.892958,260.5294162,1.40E-02,0.013064795,2010,0.993207021,6.53E-05,0.90531724,501,1,0.148639,0.0389185,0.0460424,1.44877,0.0684686,521.891,872,,844,1092,248,,1,0.8,0.96,0.969230769,721.3806818,789.1258537,754.0577647,0.98958333,3736.252632,525.568625,755.2532677,-0.15699693,0.120849394
1309,2.28E-08,0.740351908,666.4096653,0.000699607,714.6655432,0.000757911,0.000728759,690.5376043,2010,0.991350754,0.001117138,0.988027355,501,,1,100,106.5987,7.3,1,290.9979405,0.189556295,70.08405942,684.1615477,5.88E-07,0.011449766,2011,0.982701607,0.000136792,0.918166817,501,1,344.1241099,0.171508491,95.3013693,308.009747,1.10E-08,0.01772049,2010,0.970282091,0.000175645,0.971048077,501,1,0.189556,0.0407847,0.041633,1.28145,0.0724091,290.998,960,,636,1036,400,,0.9375,0.55,0.86,0.876923077,873.14375,978.1588889,923.9575269,0.97916667,2590.702128,425.60125,925.6513194,-2.764573741,0.458309857
1313,1.24E-08,0.869997608,901.455105,0.00084866,808.7176928,0.000831105,0.000839882,855.0863989,2010,0.997518652,0.000525223,0.973859841,501,,1,114.9169,100.376,7.7,1,545.3879469,0.256045572,138.3505313,384.7512381,5.72E-03,0.064010971,2020,0.989266733,0.00012685,0.917229628,501,1,471.4588788,0.156955886,127.2098128,631.0263025,1.06E-02,6.03E-03,2020,0.989383221,5.55E-05,0.906569767,501,1,0.256046,0.088409,0.0893708,1.5362,0.0911655,545.388,640,,496,736,240,,0.9875,0.75,0.94,0.946153846,917.205,1012.438261,963.8085106,0.97916667,2660.585106,442.331625,964.8216304,-1.817794772,0.064411871
1319,7.81E-03,0.883903393,693.1762855,0.001295712,664.5689333,0.001095629,0.001195671,678.8726094,2020,0.997368814,0.000583976,0.973161325,501,,1,113.7305,91.25738,7.8,1,624.1237903,0.255683351,237.5315071,201.4209677,3.57E-09,0.052907139,2020,0.977796654,0.000246961,0.952495837,501,1,326.9930637,0.252774165,82.8962437,281.6286337,1.73E-02,0.021670118,2020,0.989117867,1.30E-04,0.940046673,501,1,0.255683,0.0858256,0.124858,1.95438,0.132017,624.124,680,,540,824,284,,0.9875,0.55,0.9,0.907692308,978.7004651,1147.732727,1064.188046,1,2707.6875,433.946625,1063.216596,-1.648745769,1.088506889
1327,5.48E-03,0.859577305,547.300727,0.00132124,620.6360436,0.001051899,0.001186569,583.9683853,2010,0.996869104,0.000560499,0.96763323,501,,1,117.6248,100.376,8.2,1,458.4346104,0.303734467,158.3181105,170.0830637,5.90E-09,0.043545272,2020,0.988512344,0.000170382,0.947965711,501,1,298.3741642,0.187669996,92.59871051,239.3935669,8.53E-09,0.027935441,2020,0.983904438,9.08E-05,0.935796662,501,1,0.303734,0.146778,0.165528,2.19769,0.168786,458.435,488,,372,600,228,,0.975,0.65,0.91,0.923076923,1130.996364,1355.488667,1244.503708,0.98958333,2455.705263,474.753875,1243.242515,-3.647589248,0.326563213
1334,1.00E-02,0.899999991,695.2091218,0.001080382,669.9603697,0.000962378,0.00102138,682.5847457,2010,0.995266264,0.001013169,0.988002273,501,,1,100.376,101.5065,7.96,1,639.0742083,0.220739696,276.9547774,288.3771953,1.14E-08,0.01123724,2010,0.970477032,0.000358533,0.959307499,501,1,310.2381589,0.244040175,73.70592706,330.3748765,8.72E-03,0.027874545,2010,0.992501759,8.36E-05,0.921854295,501,1,0.22074,0.0623321,0.0938396,1.73948,0.0996657,639.074,712,,656,988,332,,0.975,0.8,0.94,0.946153846,1389.35,1467.621389,1425.017975,0.98958333,2289.450704,566.056,1428.485694,1.209672895,1.017604635
1338,5.24E-08,0.852768179,608.8745439,0.001198585,674.8115234,0.000842551,0.001020568,641.8430336,2010,0.998196897,0.000335034,0.956265259,501,,1,123.3216,122.1369,7.2,1,459.6118745,0.191627755,214.0032312,296.8583019,7.37E-09,0.025700531,2010,0.984863863,1.10E-04,0.92570469,501,1,294.2456278,0.202318115,105.2611536,308.5302269,3.79E-08,0.022304417,2010,0.98011389,1.57E-04,0.965801874,501,1,0.191628,0.0497879,0.07162,1.5968,0.0771185,459.612,404,,492,688,196,,0.975,0.9,0.96,0.969230769,863.9608163,985.5926531,924.7767347,1,2026.770833,551.2535,924.7767347,-0.438329046,0.480916189
1349,2.39E-08,0.962168661,600.4126389,0.001460369,641.1016672,0.00143894,0.001449655,620.757153,2020,0.998332564,0.000414772,0.970414864,501,,1,101.1291,102.6456,8.3,1,518.0368802,0.286184147,192.5944445,186.2241621,3.08E-07,0.012236613,2010,0.991768366,0.000140417,0.925075605,501,1,311.4600228,0.196771501,51.71438401,282.0894302,7.14E-03,0.012819725,2010,0.986452518,9.84E-05,0.947492619,501,1,0.286184,0.0626735,0.101469,1.54932,0.115402,518.037,588,,448,624,176,,0.975,1,0.98,0.976923077,933.9631111,952.0106061,941.5985897,1,2054.520833,488.42825,942.9868586,0.922403362,0.190762205
1371,1.28E-08,0.796140409,559.3806577,0.000973989,622.6312308,0.001067543,0.001020766,591.0059443,2020,0.995505235,0.000658851,0.978092165,501,,1,98.87095,83.10413,8.2,1,425.6154933,0.183039367,157.0699767,352.6005625,4.58E-09,0.039815749,2020,0.982993869,9.97E-05,0.922601896,501,1,281.7541649,0.144890865,103.8307097,280.6501109,7.95E-08,0.032139116,2010,0.979014569,6.50E-05,0.932235825,501,1,0.183039,0.0448231,0.0615307,1.50639,0.0776767,425.615,636,,352,948,596,,0.8875,0.95,0.9,0.923076923,1002.848511,1249.150909,1121.93978,1,2120.020833,522.214,1125.99971,0.303709895,1.12036213
1375,1.33E-08,0.693727966,646.0761864,0.000837913,641.6223701,0.000921735,0.000879824,643.8492782,2020,0.994310135,0.000696628,0.979543174,501,,1,98.49349,94.22019,8.7,1,811.5854188,0.15923985,389.2426928,337.8497207,1.47E-08,0.040766963,2020,0.910249242,0.000437103,0.975544361,501,1,402.2733548,0.227657283,117.2072801,276.6895391,1.39E-08,0.038900716,2020,0.984620733,0.000137208,0.955994532,501,1,0.15924,-0.00342048,0.0566207,1.55176,0.0754119,811.585,1004,,736,1236,500,,0.975,0.65,0.91,0.930769231,676.0614286,822.7923256,744.6421739,0.96875,2699.247312,448.676375,749.4268771,-0.874629835,0.654734793
1379,1.18E-02,0.632116086,562.4139802,0.000915002,662.8676101,0.000907168,0.000911085,612.6407952,2010,0.993025299,0.000661519,0.970979036,501,,1,104.1898,105.7798,8.4,1,331.3641065,0.213197902,115.0914151,244.348339,3.50E-08,0.075338587,2010,0.938448837,0.000339113,0.941554748,501,1,246.560161,0.133245279,88.04868054,403.3408065,1.61E-08,0.027456712,2020,0.95835303,0.000129707,0.954965439,501,1,0.213198,0.0369161,0.038124,1.21776,0.0654089,331.364,2000,,324,2000,1676,,0.9875,0.5,0.89,0.907692308,NA,NA,NA,0.95774648,1920.220588,504.579,NA,,
1381,2.43E-07,0.935130699,735.0621569,0.000860201,774.4169021,0.001005068,0.000932634,754.7395295,2010,0.996771522,0.000617324,0.972695784,501,,1,112.6243,104.9778,7.5,1,682.6536979,0.232109385,314.248717,296.7016204,1.30E-02,0.019406799,2010,0.973497673,0.000321168,0.962450256,501,1,406.6069241,0.204272433,143.6373268,335.2067792,1.82E-02,0.019905868,2010,0.977987096,0.000189507,0.959067486,501,1,0.232109,0.0281031,0.0839182,1.56628,0.101409,682.654,808,,620,980,360,,0.9625,0.65,0.9,0.915384615,1108.124286,1227.09,1158.643973,0.94791667,2724.582418,532.9015,1167.607143,-3.36375405,-0.784649357
1407,2.17E-07,0.660207616,665.1082179,0.000903138,649.5437639,0.000796256,0.000849697,657.3259909,2010,0.997633843,0.000314292,0.961170667,501,,1,97.35439,114.9169,8.3,1,463.1408358,0.206117559,157.2067153,333.3046564,5.14E-09,0.061376846,2020,0.966990058,0.000223466,0.955943706,501,1,262.7934541,0.181825234,69.17428045,261.4862567,7.26E-03,0.032774621,2020,0.982251893,8.70E-05,0.92116352,501,1,0.206118,0.0600168,0.0677511,1.48965,0.0729473,463.141,576,,428,1332,904,,0.95,0.7,0.9,0.923076923,1156.468125,952.3665957,1055.491579,0.89583333,1918.674419,549.603375,1054.41736,-0.200133802,-1.955736729
1416,5.12E-08,0.832789723,646.3764878,0.001258849,688.3200823,0.001193321,0.001226085,667.348285,2010,0.998570108,0.000292484,0.949386905,501,,1,103.0284,98.87095,11.4,2,601.4131809,0.246805299,222.7610827,220.0780998,1.88E-08,0.032172592,2020,0.970951479,0.000351477,0.964049514,501,1,393.9845597,0.167925593,118.0722757,236.0536004,8.34E-09,0.05042013,2020,0.981246399,7.04E-05,0.919782261,501,1,0.246805,0.0882419,0.106611,1.76046,0.111854,601.413,652,,484,744,260,,1,0.7,0.94,0.953846154,848.7095745,796.0257895,825.1568235,1,1890.34375,430.1515,822.367682,-0.848705126,-1.115751783
1418,1.63E-07,0.909777195,565.4377995,0.001253825,488.2259807,0.001233488,0.001243656,526.8318901,2010,0.996338408,0.000739523,0.981385353,501,,1,116.2048,92.134,11.02,2,437.1915486,0.275443982,157.425188,241.4513938,1.32E-08,0.032244138,2020,0.979313313,0.000300826,0.961318106,501,1,241.7599928,0.211772508,56.60158489,324.2765658,4.31E-03,0.011763323,2010,0.985331257,1.35E-04,0.951593286,501,1,0.275444,0.101707,0.142405,2.0704,0.164576,437.192,544,,276,688,412,,1,0.95,0.99,0.992307692,679.1532653,718.8246667,698.1448936,0.98958333,1606.810526,491.85525,698.988966,0.319461049,-0.51456429
1428,1.49E-08,0.645973433,568.6626664,0.001036413,698.7293131,0.000812032,0.000924222,633.6959897,2010,0.994669225,0.000677226,0.982789535,501,,1,92.134,95.41779,12.6,2,363.0136298,0.135636156,101.4185639,414.1485182,4.32E-03,0.02816089,2020,0.942126552,0.000200453,0.964684028,501,1,406.6700245,0.109218484,94.59345703,198.4156948,0.006517207,0.038602479,2020,0.97625686,3.10E-05,0.876521455,501,1,0.135636,0.021296,0.0249701,1.22564,0.0402696,363.014,284,,752,924,172,,1,0.9,0.98,0.976923077,1439.1852,1413.040208,1426.37949,0.98958333,2267.105263,544.387625,1426.112704,-0.296891649,-1.180869114
1432,1.33E-02,0.904253658,480.3063674,0.001427881,542.4769598,0.001376943,0.001402412,511.3916636,2020,0.992104344,0.001396331,0.988426175,501,,1,100,92,12.4,2,459.9299073,0.246998479,194.7434856,190.1960276,4.83E-09,0.0399605,2020,0.981386839,0.000188642,0.937831345,501,1,213.341213,0.19509005,67.54737866,236.127706,7.92E-09,0.020214919,2020,0.989033344,6.82E-05,0.930179653,501,1,0.246998,0.0842783,0.128555,2.08537,0.135175,459.93,508,,396,740,344,,1,0.9,0.98,0.984615385,724.5660417,734.8685714,729.7704124,0.98958333,1949.473684,393.3925,729.7173065,-0.424056793,-0.046941423
1436,2.49E-08,0.89034786,574.7664433,0.001990754,589.4506656,0.001515266,0.00175301,582.1085545,2020,0.998255294,0.000457267,0.973307804,501,,1,130.8062,89.88265,12.9,2,433.8693306,0.121855947,154.8510502,512.149106,1.13E-06,0.016417809,2010,0.968877334,9.55E-05,0.904756285,501,1,481.2900923,0.118619907,180.632932,141.4240346,4.94E-08,0.020511735,2020,0.982372775,3.66E-05,0.888324984,501,1,0.121856,0.0589423,0.0667163,2.20995,0.0689893,433.869,404,,640,1160,520,,1,0.85,0.97,0.976923077,608.4524,721.2508,664.8516,0.98958333,1643.978947,541.556875,664.8516,0.253143176,0.925431691
1439,4.02E-03,0.799061716,530.156945,0.00135716,570.7603026,0.00094786,0.00115251,550.4586238,2020,0.995754573,0.000673685,0.974798739,501,,1,120.1113,95.81021,11.09,2,583.296687,0.242816613,229.092533,113.482767,3.33E-09,0.065824353,2020,0.969525472,0.000232883,0.951268655,501,1,295.4025375,0.221741235,96.47543573,217.3605272,8.74E-06,0.046026144,2010,0.981383622,1.24E-04,0.946344144,501,1,0.242817,0.0746857,0.108655,1.80988,0.11064,583.297,600,,520,704,184,,0.9875,0.95,0.98,0.976923077,697.39125,666.5708163,681.8221649,0.97916667,1884.053191,460.00625,681.9810332,0.028792829,-0.76232592
1440,2.19E-08,0.899858967,626.8085172,0.000896136,699.5144203,0.000944784,0.00092046,663.1614687,2010,0.994514877,0.001024268,0.986139602,501,,1,130.8062,112.0963,8.9,1,395.5084044,0.17915817,131.0239899,505.5231378,0.003818122,0.029219972,2020,0.93009559,0.000467936,0.978234851,501,1,336.8625701,0.199577273,93.87972561,391.0045882,2.36E-03,0.021467233,2020,0.989089788,8.93E-05,0.936693827,501,1,0.179158,0.0186483,0.0186629,1.11628,0.0292267,395.508,968,,1136,1352,216,,0.95,0.65,0.89,0.915384615,928.9695349,1106.738333,1016.808235,1,1706.71875,453.243375,1017.853934,-0.506895195,1.677853159
1597,0.0163788,0.886629653,731.3798732,0.00161238,710.3759375,0.001106366,0.001359373,720.8779054,2010,0.996230532,0.000947859,0.981428852,501,,1,99.62397,91.69923,8.1,1,605.4242914,0.190334988,187.2496837,189.3197372,4.73E-04,0.048793981,2020,0.978951986,0.000114412,0.920821595,501,1,464.0608478,0.23161166,114.2063599,281.7611113,1.47E-02,0.014909866,2010,0.992300606,8.33E-05,0.917087513,501,1,0.190335,0.0549006,0.0676763,1.55174,0.0697366,605.424,640,,1296,2000,704,,0.9625,0.95,0.96,0.946153846,942.1441667,1205.350652,1070.94734,0.97916667,3248.382979,542.04325,1073.747409,-0.154670329,1.920843619
1769,2.06E-08,0.818022006,680.6227369,0.000940905,691.2736576,0.001042794,0.000991849,685.9481973,2020,0.996070977,0.000746482,0.980356522,501,,1,100.376,107.0155,7.6,1,627.2509166,0.210793306,262.8394751,257.6886243,1.17E-08,0.033526489,2020,0.952614423,0.000443927,0.980260426,501,1,343.3382065,0.195024744,81.58132711,276.4779487,1.57E-03,0.038564361,2020,0.980015697,0.000120121,0.943640372,501,1,0.210793,0.0757196,0.106812,2.02723,0.113379,627.251,700,,588,940,352,,0.975,0.85,0.95,0.961538462,1236.805319,1296.694737,1263.579412,1,3018.46875,559.062625,1266.750028,0.836220816,0.077031885
2238,0.021000852,0.858718165,566.2374924,0.002657047,601.5890638,0.001823134,0.00224009,583.9132781,2010,0.998284266,0.00039561,0.964430989,501,,1,134.8952,134.8952,11.4,2,372.6066038,0.137685057,87.23384728,309.1197355,4.50E-03,0.041973326,2020,0.974251899,6.97E-05,0.90540667,501,1,429.2899916,0.161693317,153.7094676,115.0514544,5.94E-03,0.028152337,2010,0.964109226,0.000122214,0.963224362,501,1,0.137685,-0.0445852,-0.0319197,0.8118,0.0347065,372.607,772,,632,964,332,,0.9875,0.9,0.97,0.969230769,668.5393878,640.8995833,654.8619588,0.98958333,1394.816901,653.497,654.7194855,-0.035241674,-0.939580477
